"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g224",298.873181589797,-0.628701279708258,0.65630243746181,-0.957944453382961,0.338090768959025,0.515226486700782
"g225",0,NA,NA,NA,NA,NA
"g226",43.1903282027739,-1.02108519490107,0.723529678896958,-1.41125543938673,0.158169308527559,0.32004157745543
"g227",190.085999484455,-1.58490843825365,0.666908788006045,-2.37649955549736,0.0174777824542183,0.069872632498692
"g228",39.0680663580672,0.561202282515245,0.72672486640934,0.772234869694329,0.439975332540837,0.61051622978717
"g229",1.900910982976,4.29604472599437,2.25815520226483,1.90245768833144,0.057111345376143,0.161208540991757
"g230",0,NA,NA,NA,NA,NA
"g231",0,NA,NA,NA,NA,NA
"g232",4144.20965763331,1.13648629964327,0.646115824039618,1.75895134797624,0.0785857725269832,0.202316563314148
"g233",18.4807658466461,-1.73157791726509,0.851248213486715,-2.03416334957409,0.0419351284742166,0.12956560543054
"g234",0.526063560553707,-2.58929567907527,2.58075382973868,-1.00330982724433,0.315711396044123,0.493979468810417
"g235",2207.74752976182,-1.72487651002991,0.647184923470032,-2.66519884422151,0.00769428125060281,0.0394494928526669
"g236",0.950455491487998,3.29604811023646,2.37056909796141,1.39040372755678,0.164406315195475,0.322940976276827
"g237",0,NA,NA,NA,NA,NA
"g238",704.736586354139,-0.294714540879903,0.649783668943469,-0.453557937765812,0.650147033642781,0.779918616035457
"g239",2732.32719202778,-2.74568958874168,0.647706627851022,-4.23909447684888,2.24423201663213e-05,0.000428766432651296
"g240",340.029539232158,-3.01025214925337,0.668011614282713,-4.50628714365343,6.597179905156e-06,0.000159651753704775
"g241",10.1654205074062,-1.03970054131523,0.934727669878292,-1.11230316039602,0.266007825498489,0.44440256494009
"g242",5.63419172166166,-1.56165197187296,1.17056828060439,-1.33409729081899,0.18217197361272,0.348044349586407
"g243",18.0055381009021,-1.90150273865303,0.868061807457217,-2.19051537841877,0.0284868807391494,0.0970050441680228
"g244",151.597112924311,-1.55495849242418,0.672049105250916,-2.31375725415723,0.0206810413384629,0.078429956040622
"g245",319.173172624816,-0.282820501687868,0.655280783483398,-0.431602007591962,0.666030699080074,0.788455490616366
"g246",65.9966991533655,-2.94103069747341,0.751737738151752,-3.9123095039825,9.14176443893833e-05,0.00129627362942758
"g247",375.742441812784,-1.62084403463665,0.656401997700516,-2.46928565165056,0.0135383099335898,0.0586444690440705
"g248",51.4194269022908,-2.87243985222655,0.774971068509855,-3.70651237051957,0.000210132976937079,0.00255967351101207
"g249",184.204469956425,0.0177704127405925,0.662502004164555,0.0268231833698402,0.978600762213611,0.985113912045316
"g250",0.475227745743999,2.29605134051971,2.58074822374486,0.889684363392864,0.373635392471387,0.54910788448224
"g251",0,NA,NA,NA,NA,NA
"g252",1580.99900097404,-0.289628179605286,0.647242509347157,-0.447480156854067,0.654528411973878,0.782600394746123
"g253",1583.19916151425,0.369714127995617,0.647276487128766,0.571184239420809,0.567874760548376,0.714270748714693
"g254",37.3882040467866,0.881951998478679,0.735077566574024,1.19980807275781,0.230213888215289,0.403318732732384
"g255",2086.25623566627,1.64069603946053,0.647349103469363,2.53448414567578,0.0112613022831909,0.0512262246716577
"g256",298.15007806966,-2.29827793174177,0.663572088857612,-3.46349397500794,0.00053320853595083,0.00556191662500435
"g257",2.00258261259541,-0.146616345112197,1.58038860682795,-0.0927723374357121,0.926084427739266,0.955571739813408
"g258",0,NA,NA,NA,NA,NA
"g259",3234.78402461082,-1.64978565050809,0.646517585688723,-2.55180321004046,0.010716703004543,0.0496194284521569
"g260",1099.92513652693,-1.4760671422874,0.648866381532237,-2.2748399120352,0.0229155350041287,0.0848810123112114
"g261",2533.69782871425,-1.3987834500252,0.646752781030605,-2.1627791809356,0.0305581676061301,0.10233039521241
"g262",22.0615391409026,-1.68718391432653,0.81885950286288,-2.06040707646163,0.0393596409687564,0.125557065585529
